FileName,Next 1990,2012 Songbook,2017 Songbook,Tags,Quality,VC Choice,Notes,,,,,
The_Fields_Of_Athenray.mp3,,N,N,,Fine,Y,,,,,,
The_Fields_Of_Athenray_(Emily_Colourchord_2025-03).mp3,,N,N,,,Y,"IFASCO 2024"
The_Fields_Of_Athenray_(North).mp3,,N,N,Guitar,Fine,N,,,,,,
Fire_Meringo.mp3,,N,N,,Good,Y,Normally known as Fire Marengo,,,,,
Fish_and_Chips_and_Vinegar_(Stores_2025-03).mp3,,N,N,,,Y,"IFASCO 2024"
Five_Hundred_Miles_(Oxford_Glee_2024-05).mp3,,Y,Y,,Fine,Y,From OGVCC,,,,,
Follow_The_Drinking_Gourd_(Meg_at_Rushall_Glee_1997-10).mp3,,Y,Y,,Good,Y,"Meg Taylor",,,,,
Fourpence_A_Day_(Alice_2024-12).mp3,,N,N,,,Y,"IFASCO 2024"
Freedom_for_South_Africa.mp3,,N,N,Round,Fine,N,,,,,,
Freedom_Is_Coming.mp3,,N,N,Round,Fine,Y,Rerecord,,,,,
Freedom_Is_Coming_(Parts).mp3,,N,N,Round,Fine,N,,,,,,
Freedom_Train_(Stores_2024-12).mp3,,N,Y,,,Y,"From Alice"
Freight_Train.mp3,Y,Y,Y,,Fine,Y,,,,,,
Froggy_Went_A_Courtin'.mp3,Y,Y,Y,With Guitar,Fine,Y,Chords in songbook,,,,,
Frogs_Go_TraLaLaLaLa_(Caving_2025-02).mp3,,N,N,,,Y,"Caving,Sophie"
Ghost_Of_John_(01).mp3,,Y,Y,Round,Fine,Y,,,,,,
Ghost_Of_John_(02).mp3,,Y,Y,Round,Bin,N,,,,,,
Glad_To_Be_Gay_(Glee_Camp_2024-10).mp3,,N,Y,,Fine,Y,"From Emily, whatsapp",,,,,
The_Gloaming_Oh.mp3,,N,N,Solo,Good,Y,,,,,,
Go_Down_You_Blood_Red_Roses_(In_The_Crypt).mp3,,Y,Y,,Good,Y,,,,,,
Go_Well_And_Safely_(Putney_Allstars).mp3,,N,N,,Good,Y,Also known as 'Zulu' farewell,,,,,
Goin'_Fishin'.mp3,,N,N,With Guitar,Fine,Y,,,,,,
Going_Over_Jordan.mp3,,N,N,,Fine,Y,Rerecord - Duplicates Below. Poor Wayfaring Stranger,,,,,
Gonna_Be_An_Engineer_(Peggy_Seeger).mp3,Y,N,Y,,Good,Y,Rerecord - Actually just Peggy Seeger so delete,,,,,
Good_Morning_Good_Morning_(Not_Recorded_Yet).mp3,,N,N,,,Y,"Arise Jan 2024"
Good_Times.mp3,,N,N,Pop,Fine,N,Has teaching in it - Quite fun - Alternative song?,,,,,
Goodbye_Love.mp3,,N,N,Solo,Good,N,What is this song?,,,,,
Goodbye_Love_(In_The_Crypt).mp3,,N,N,,Fine,N,,,,,,
Grandma's_Hands.mp3,,N,N,,Bin,N,,,,,,
Great_American_Railway_(Oxford_Glee_2024-03).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
Greenland_Whaler.mp3,,N,N,,Good,Y,"The version in old songbook - ""Greenland Whale Fisheries""",,,,,
Greenland_Whaler_(Belter).mp3,,N,N,,Good,Y,"Different version, slightly different lyrics + tune - label as ""Version B""",,,,,
Greenland_Whaler_(Snippet).mp3,,N,N,Harmony,Good,Y,"Interesting harmonies, different lyrics ""Harmony""",,,,,
Green_Grow_The_Rushes_O_(Oxford_Glee_2024-04).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
Grey_Funnel_Line_(Messy).mp3,,Y,Y,,Bin,N,Talking,,,,,
Grey_Funnel_Line_(North).mp3,,Y,Y,Harmony,Good,Y,,,,,,
Grey_Funnel_Line_(Glee_Camp_2016-06).mp3,,N,Y,,,N,"Simon Emmerson Soundcloud"
Grey_Funnel_Line_(Solo_Jon_B).mp3,,N,N,,,Y,"IFASCO 2024"
Harbour_(Not_Recorded_Yet).mp3,,N,N,,,Y,"IFASCO 2024"
"Hares_On_The_Mountain_(Major_Key,_Hannah_Kessler_2024-12).mp3",,N,N,,,Y,"IFASCO 2024"
"Hares_On_The_Mountain_(Minor_Key,_Hannah_Kessler_2024-12).mp3",,N,N,,,N,"IFASCO 2024"
Hares_On_The_Mountain_(Stores_2024-12).mp3,,N,N,,,Y,"From Alice"
Hal_And_Tow.mp3,,Y,Y,Solo-y,Good,Y,,,,,,
Halleluiah_Im_A_Bum_(Oxford_Glee_2024-05).mp3,,Y,Y,,Fine,Y,From OGVCC,,,,,
Hamba_Kahle_Mkhonto_(Unknown).mp3,,N,N,,Fine,N,Alt songs,,,,,
Handsome_John_Brown_(Hodore_2024-07).mp3,,N,Y,,Fine,Y,From OGVCC,,,,,
Hanging_On_The_Old_Barbed_Wire_(Assington_2024-05).mp3,,Y,Y,,Fine,Y,From OGVCC,,,,,
Hard_Times_(Rushall_Glee_1997-10).mp3,,Y,Y,Solo + Chorus,Good,Y,,,,,,
Hard_Times_(Banjo).mp3,,Y,Y,With Banjo,Good,N,"""With Banjo""",,,,,
Harriet_Tubman_(Horton_Rd_Vol_1).mp3,Y,Y,Y,,Good,Y,,,,,,
Harriet_Tubman_(02).mp3,Y,Y,Y,With Guitar,Fine,N,,,,,,
Haul_Away_For_Johnny_O.mp3,,N,N,,Good,Y,*,,,,,
